ticker,data_date,sector,industry,open,high,low,close,volume,frequency,nbss,nbsf
INTA,2023-12-22,Industrials,Machinery,50.00,50.00,50.00,50.00,0,0,0,0
INTD,2023-12-22,Basic Materials,Forestry & Paper,143.00,143.00,143.00,143.00,100,1,14300,0
INTP,2023-12-22,Basic Materials,Construction Materials,9200.00,9325.00,9175.00,9275.00,608300,576,-296487488,1867512448
IOTF,2023-12-22,Technology,"Electronic Equipment, Instruments & Compo",152.00,154.00,114.00,153.00,173627296,8259,16469426176,-1130155136
IPAC,2023-12-22,Properties & Real Estate,Real Estate Management & Development,96.00,109.00,96.00,109.00,31400,24,3039800,0
IPCC,2023-12-22,Infrastructures,Transport Infrastructure Operator,725.00,725.00,715.00,720.00,3481900,613,31213500,-49817000
IPCM,2023-12-22,Infrastructures,Transport Infrastructure Operator,278.00,282.00,278.00,280.00,466000,126,-46243400,-31500000
IPOL,2023-12-22,Basic Materials,Containers & Packaging,150.00,150.00,150.00,150.00,27200,5,-4080000,-1005000
IPPE,2023-12-22,Consumer Non-Cyclicals,Agricultural Products,50.00,50.00,50.00,50.00,56900,5,2845000,0
IPTV,2023-12-22,Consumer Cyclicals,Media,50.00,50.00,50.00,50.00,27000,16,1300000,0
IRRA,2023-12-22,Healthcare,Healthcare Equipment & Supplies,770.00,915.00,710.00,790.00,84599600,22454,-1426075008,-1702047488
IRSX,2023-12-22,Technology,Software,50.00,51.00,50.00,50.00,1689600,164,41187700,-250000
ISAP,2023-12-22,Consumer Cyclicals,Auto Components,11.00,11.00,9.00,11.00,8345500,138,-76571200,0
ISAT,2023-12-22,Infrastructures,Wireless Telecommunication Services,9400.00,9450.00,9250.00,9400.00,2460800,1217,3369782528,-3622479872
ISSP,2023-12-22,Basic Materials,Metals & Minerals,288.00,290.00,284.00,286.00,1102300,166,-9007200,-8517400
ITIC,2023-12-22,Consumer Non-Cyclicals,Tobacco,298.00,304.00,294.00,300.00,434700,147,-12978400,44438400
ITMA,2023-12-22,Energy,"Oil, Gas & Coal Supports",670.00,685.00,535.00,595.00,2771500,1426,-248457504,27231000
ITMG,2023-12-22,Energy,Coal,25100.00,25400.00,24900.00,25350.00,616800,1452,2374739968,4536317440
JARR,2023-12-22,Consumer Non-Cyclicals,Agricultural Products,234.00,234.00,210.00,222.00,8048500,987,44812200,156041200
JAST,2023-12-22,Infrastructures,Telecommunication Service,50.00,50.00,50.00,50.00,39100,11,1950000,0
